HS Code,Item Description,Basic Duty (SCH),IGST,10% SWS,Total duty with SWS of 10% on BCD
6115 22 00,"Of synthetic fibres, measuring per single yarn 67 decitex or more",20,0.4166666666666667,2,
6115 29 10,Of silk ,20,0.4166666666666667,2,
6115 29 20,Of wool or fine animal hair,20,0.4166666666666667,2,
6115 29 30,Of artificial fibres,20,0.4166666666666667,2,
6115 29 90,Other ,20,0.4166666666666667,2,
6115 30 00,"Other women's full-length or knee-length hosiery, measuring per single yarn less than 67 decitex",20,0.4166666666666667,2,
6115 94 00,Of wool or fine animal hair ,20,0.4166666666666667,2,
6115 95 00,Of cotton ,20,0.4166666666666667,2,
6115 96 00,Of synthetic fibres ,20,0.4166666666666667,2,
6115 99 10,Of artificial fibres,20,0.4166666666666667,2,
6115 99 90,Other,20,0.4166666666666667,2,
6116 10 00,"Impregnated, coated, covered or laminated with plastics or rubber",20,0.4166666666666667,2,
6116 91 00,Of wool or fine animal hair,20,0.4166666666666667,2,
6116 92 00,Of cotton,20,0.4166666666666667,2,
6116 93 00,Of synthetic fibres,20,0.4166666666666667,2,
6116 99 10,Of artificial fibres,20,0.4166666666666667,2,
6116 99 90,Other,20,0.4166666666666667,2,
6117 10 10,Of silk,20,0.4166666666666667,2,
6117 10 20,Of wool,20,0.4166666666666667,2,
6117 10 30,Of cotton,20,0.4166666666666667,2,
6117 10 40,Of man-made fibres,20,0.4166666666666667,2,
6117 10 90,Other,20,0.4166666666666667,2,
6117 80 10,Of silk,20,0.4166666666666667,2,
6117 80 20,Of wool,20,0.4166666666666667,2,
6117 80 30,Of cotton,20,0.4166666666666667,2,
6117 80 40,Of man-made fibres,20,0.4166666666666667,2,
6117 80 90,Other,20,0.4166666666666667,2,
6117 90 00,Parts,20,0.4166666666666667,2,
6201 20 10,"Overcoats, raincoats, car-coats capes, cloaks and similar articles",20,0.4166666666666667,0,
6201 20 90,Other,20,0.4166666666666667,0,
6201 30 10,"Overcoats, raincoats, car-coats, capes, cloaks and similar articles",20,0.4166666666666667,0,
6201 30 90,Other,20,0.4166666666666667,0,
6201 40 10,"Overcoats, raincoats, car-coats, capes, cloaks and similar articles",20,0.4166666666666667,0,
6201 40 90,Other,20,0.4166666666666667,0,
6201 90 10,"Overcoats, raincoats, car-coats, capes, cloaks and similar articles",20,0.4166666666666667,2,
6201 90 90,Other,20,0.4166666666666667,2,
6202 20 10,"Overcoats, raincoats, car-coats, capes, cloaks and similar articles",20,0.4166666666666667,0,
6202 20 90,Other,20,0.4166666666666667,0,
6202 30 10,"Overcoats, raincoats, car-coats, capes, cloaks and similar articles",20,0.4166666666666667,0,
6202 30 90,Other,20,0.4166666666666667,0,
6202 40 10,"Overcoats, raincoats, car-coats, capes, cloaks and similar articles",20,0.4166666666666667,0,
6202 40 90,Other,20,0.4166666666666667,0,
6202 90 10,"Overcoats, raincoats, car-coats, capes,cloaks and similar articles",20,0.4166666666666667,2,
6202 90 90,Other,20,0.4166666666666667,2,
6203 11 00,Of wool or fine animal hair,20,0.4166666666666667,0,
6203 12 00,Of synthetic fibres,20,0.4166666666666667,0,
6203 19 10,Of cotton,20,0.4166666666666667,0,
6203 19 90,Other,20,0.4166666666666667,0,
6203 22 00,Of cotton,20,0.4166666666666667,0,
6203 23 00,Of synthetic fibres,20,0.4166666666666667,0,
6203 29 11,Khadi,20,0.4166666666666667,0,
6203 29 19,Other,20,0.4166666666666667,0,
6203 29 90,Other,20,0.4166666666666667,0,
6203 31 10,Khadi,20,0.4166666666666667,0,
6203 31 90,Other,20,0.4166666666666667,0,
6203 32 00,Of cotton,20,0.4166666666666667,0,
6203 33 00,Of synthetic fibres,20,0.4166666666666667,0,
6203 39 11,Khadi,20,0.4166666666666667,0,
6203 39 19,Other,20,0.4166666666666667,0,
6203 39 90,Other,20,0.4166666666666667,0,
6203 41 00,Of wool or fine animal hair,20,0.4166666666666667,0,
6203 42 10,Handloom,20,0.4166666666666667,0,
6203 42 90,Other,20,0.4166666666666667,0,
6203 43 00,Of synthetic fibres,20,0.4166666666666667,0,
6203 49 10,Of silk,20,0.4166666666666667,0,
6203 49 90,Other,20,0.4166666666666667,0,
6204 11 00,Of wool of fine animal hair,20,0.4166666666666667,0,
6204 12 10,Embroidered with Lucknow Chikan Craft,20,0.4166666666666667,0,
6204 12 90,Other,20,0.4166666666666667,0,
6204 13 10,Embroidered with Lucknow Chikan Craft,20,0.4166666666666667,0,
6204 13 90,Other,20,0.4166666666666667,0,
6204 19 11,Sequinned or beaded with chattons or embroidered,20,0.4166666666666667,0,
6204 19 12,Embroidered with Lucknow Chikan Craft,20,0.4166666666666667,0,
6204 19 19,Other ,20,0.4166666666666667,0,
6204 19 91,Embroidered with Lucknow Chikan Craft,20,0.4166666666666667,0,
6204 19 99,Other ,20,0.4166666666666667,0,
6204 21 00,Of wool or fine animal hair,20,0.4166666666666667,2,
6204 22 10,"Blouses combined with skirts, trousers or shorts",20,0.4166666666666667,2,
6204 22 20,Embroidered with Lucknow Chikan Craft,20,0.4166666666666667,2,
6204 22 90,Other,20,0.4166666666666667,2,
6204 23 10,Embroidered with Lucknow Chikan Craft,20,0.4166666666666667,2,
6204 23 90,Other,20,0.4166666666666667,2,
6204 29 12,Khadi,20,0.4166666666666667,2,
6204 29 13,Embroidered with Lucknow Chikan Craft,20,0.4166666666666667,2,
6204 29 19,Other,20,0.4166666666666667,2,
6204 29 91,Embroidered with Lucknow Chikan Craft,20,0.4166666666666667,2,
6204 29 99,Other,20,0.4166666666666667,2,
6204 31 10,Khadi,20,0.4166666666666667,0,
6204 31 90,Other,20,0.4166666666666667,0,
6204 32 10,Embroidered with Lucknow Chikan Craft,20,0.4166666666666667,0,
6204 32 90,Other,20,0.4166666666666667,0,
6204 33 10,Embroidered with Lucknow Chikan Craft,20,0.4166666666666667,0,
6204 33 90,Other,20,0.4166666666666667,0,
6204 39 12,Khadi,20,0.4166666666666667,0,
6204 39 13,Embroidered with Lucknow Chikan Craft,20,0.4166666666666667,0,
6204 39 19,Other,20,0.4166666666666667,0,
6204 39 91,Embroidered with Lucknow Chikan Craft,20,0.4166666666666667,0,
6204 39 99,Other,20,0.4166666666666667,0,
6204 41 10,House coats and like dresses,20,0.4166666666666667,0,
6204 41 20,Blazers,20,0.4166666666666667,0,
6204 41 90,Other,20,0.4166666666666667,0,
6204 42 10,House coats and the like dresses,20,0.4166666666666667,0,
6204 42 20,Handloom ,20,0.4166666666666667,0,
6204 42 30,Embroidered with Lucknow Chikan Craft,20,0.4166666666666667,0,
6204 42 90,Other,20,0.4166666666666667,0,
6204 43 10,House coats and the like,20,0.4166666666666667,0,
6204 43 20,Embroidered with Lucknow Chikan Craft,20,0.4166666666666667,0,
6204 43 90,Other,20,0.4166666666666667,0,
6204 44 10,Embroidered with Lucknow Chikan Craft,20,0.4166666666666667,0,
6204 44 90,Other,20,0.4166666666666667,0,
6204 49 11,House coats and the like dresses,20,0.4166666666666667,0,
6204 49 12,Embroidered with Lucknow Chikan Craft,20,0.4166666666666667,0,
6204 49 19,Other,20,0.4166666666666667,0,
6204 49 91,Embroidered with Lucknow Chikan Craft,20,0.4166666666666667,0,
6204 49 99,Other,20,0.4166666666666667,0,
6204 51 00,Of wool or fine animal hair,20,0.4166666666666667,0,
6204 52 10,Embroidered with Lucknow Chikan Craft,20,0.4166666666666667,2,
6204 52 90,Other,20,0.4166666666666667,2,
6204 53 10,Embroidered with Lucknow Chikan Craft,20,0.4166666666666667,2,
6204 53 90,Other,20,0.4166666666666667,2,
6204 59 11,Embroidered with Lucknow Chikan Craft,20,0.4166666666666667,2,
6204 59 19,Other,20,0.4166666666666667,2,
6204 59 91,Embroidered with Lucknow Chikan Craft,20,0.4166666666666667,2,
6204 59 99,Other,20,0.4166666666666667,2,
6204 61 10,Trousers and shorts,20,0.4166666666666667,0,
6204 61 90,Other,20,0.4166666666666667,0,
6204 62 10,Handloom,20,0.4166666666666667,0,
6204 62 90,Other,20,0.4166666666666667,0,
6204 63 00,Of synthetic fibres,20,0.4166666666666667,2,
6204 69 11,Sequinned or beaded or embroidered,20,0.4166666666666667,0,
6204 69 19,Other,20,0.4166666666666667,0,
6204 69 90,Other,20,0.4166666666666667,0,
6205 20 10,Handloom,20,0.4166666666666667,0,
6205 20 20,Embroidered with Lucknow Chikan Craft,20,0.4166666666666667,0,
6205 20 90,Other,20,0.4166666666666667,0,
6205 30 10,Embroidered with Lucknow Chikan Craft,20,0.4166666666666667,0,
6205 30 90,Other,20,0.4166666666666667,0,
6205 90 11,Khadi,20,0.4166666666666667,0,
6205 90 12,Embroidered with Lucknow Chikan Craft,20,0.4166666666666667,0,
6205 90 19,Other,20,0.4166666666666667,0,
6205 90 90,Other,20,0.4166666666666667,0,
6206 10 10,Of silk,20,0.4166666666666667,2,
6206 10 90,Other,20,0.4166666666666667,2,
6206 20 00,Of wool or fine animal hair,20,0.4166666666666667,0,
6206 30 10,Handloom,20,0.4166666666666667,0,
6206 30 90,Other,20,0.4166666666666667,0,
6206 40 00,Of man-made fibres,20,0.4166666666666667,0,
6206 90 00,Of other textile materials,20,0.4166666666666667,2,
6207 11 00,Of cotton,20,0.4166666666666667,0,
6207 19 10,Of synthetic fibres,20,0.4166666666666667,0,
6207 19 20,Of wool,20,0.4166666666666667,0,
6207 19 30,Of silk,10,0.4166666666666667,0,
6207 19 90,Other,20,0.4166666666666667,0,
6207 21 10,Handloom,20,0.4166666666666667,2,
6207 21 90,Other,20,0.4166666666666667,2,
6207 22 00,Of man-made fibres,20,0.4166666666666667,2,
6207 29 00,Of other textile materials,20,0.4166666666666667,2,
6207 91 10,Dressing gowns and bathrobes,20,0.4166666666666667,2,
6207 91 20,Under shirts other than hand printed,20,0.4166666666666667,2,
6207 91 90,Other,20,0.4166666666666667,2,
6207 99 11,Dressing gowns and bathrobes,20,0.4166666666666667,0,
6207 99 19,Other,20,0.4166666666666667,0,
6207 99 21,Dressing gowns and bathrobes,20,0.4166666666666667,0,
6207 99 29,Other,20,0.4166666666666667,0,
6207 99 90,Other,20,0.4166666666666667,0,
6208 11 00,Of man-made fibres,20,0.4166666666666667,0,
6208 19 10,Of cotton other than hand printed,20,0.4166666666666667,0,
6208 19 90,Other,20,0.4166666666666667,0,
6208 21 10,Handloom,20,0.4166666666666667,2,
6208 21 90,Other,20,0.4166666666666667,2,
6208 22 00,Of man-made fibres,20,0.4166666666666667,2,
6208 29 10,Of silk,20,0.4166666666666667,2,
6208 29 20,Of wool,20,0.4166666666666667,2,
6208 29 90,Other,20,0.4166666666666667,2,
6208 91 10,Dressing gowns and bathrobes,20,0.4166666666666667,0,
6208 91 90,Other,20,0.4166666666666667,0,
6208 92 10,Dressing gowns and bathrobes,20,0.4166666666666667,0,
6208 92 90,Other,20,0.4166666666666667,0,
6208 99 10,Dressing gowns and bathrobes of wool,20,0.4166666666666667,2,
6208 99 20,Dressing gowns and bathrobes of silk,20,0.4166666666666667,2,
6208 99 90,Other,20,0.4166666666666667,2,
6209 20 10,Handloom,20,0.4166666666666667,2,
6209 20 90,Other,20,0.4166666666666667,2,
6209 30 00,Of synthetic fibres,20,0.4166666666666667,2,
6209 90 10,Of silk,20,0.4166666666666667,2,
6209 90 90,Other,20,0.4166666666666667,2,
6210 10 10,Personal protective garments for surgical/medical use (felt or non-woven) conforming to IS 17423,20,0.4166666666666667,2,
6210 10 20,Surgical gowns and drapes conforming to IS 17334,20,0.4166666666666667,2,
6210 10 90,Other,20,0.4166666666666667,2,
6210 20 10,"Outer garments, of rubberised textile fabrics",20,0.4166666666666667,0,
6210 20 20,"Outer garments, of fabrics impregnated, coated, covered or laminated with preparations of cellulose derivatives and other artificial plastic materials",20,0.4166666666666667,0,
6210 20 30,"Outer garments, of fabrics otherwise impregnated or coated",20,0.4166666666666667,0,
6210 20 90,Other,20,0.4166666666666667,0,
6210 30 10,"Outer garments, of textiles impregnated, coated, covered or laminated with preparations of cellulose derivatives and other artificial plastic materials",20,0.4166666666666667,0,
6210 30 20,"Outer garments, of rubberised textile fabrics",20,0.4166666666666667,0,
6210 30 30,"Outer garments, of fabrics otherwise impregnated",20,0.4166666666666667,0,
6210 30 90,Other,20,0.4166666666666667,0,
6210 40 10,"Bullet proof jacket, bomb disposal jacket and the like",20,0.4166666666666667,0,
6210 40 20,NBC Warfare suits and the like (conforming to IS 17377),20,0.4166666666666667,0,
6210 40 30,High Visibility Warning Clothes and the like (Conforming to IS 15809),20,0.4166666666666667,0,
6210 40 40,High Altitude Clothes (Conforming to IS 5866),20,0.4166666666666667,0,
6210 40 50,Fighter Aircraft Clothing (Conforming to IS 11871),20,0.4166666666666667,0,
6210 40 60,Personal protective garments for surgical/medical use (felt or non-woven) conforming to IS 17423),20,0.4166666666666667,0,
6210 40 70,Surgical gowns and drapes conforming to IS 17334),20,0.4166666666666667,0,
6210 40 80,"Clothing for special use such as FR, chemical (IS 15071, 15758), electrical (IS 11871, IS 16655) and industrial protection (IS 17466)",20,0.4166666666666667,0,
6210 40 90,Other,20,0.4166666666666667,0,
6210 50 00,Other women’s or girls’ garments,20,0.4166666666666667,0,
6211 11 00,Men’s or boys’,20,0.4166666666666667,2,
6211 12 00,Women’s or girls’,20,0.4166666666666667,2,
6211 20 00,Ski suits,20,0.4166666666666667,2,
6211 32 00,Of cotton,20,0.4166666666666667,0,
6211 33 00,Of man-made fibres,20,0.4166666666666667,0,
6211 39 11,Handloom,20,0.4166666666666667,2,
6211 39 19,Other,20,0.4166666666666667,2,
6211 39 90,Other,20,0.4166666666666667,2,
6211 42 11,Embroidered with Lucknow Chikan Craft,20,0.4166666666666667,0,
6211 42 19,Other,20,0.4166666666666667,0,
6211 42 91,Embroidered with Lucknow Chikan Craft,20,0.4166666666666667,0,
6211 42 99,Other,20,0.4166666666666667,0,
6211 43 10,Embroidered with Lucknow Chikan Craft,20,0.4166666666666667,0,
6211 43 90,Other,20,0.4166666666666667,0,
6211 49 10,Of wool or fine animal hair,20,0.4166666666666667,2,
6211 49 21,Khadi,20,0.4166666666666667,2,
6211 49 22,Embroidered with Lucknow Chikan Craft,20,0.4166666666666667,2,
6211 49 29,Other,20,0.4166666666666667,2,
6211 49 91,Embroidered with Lucknow Chikan Craft,20,0.4166666666666667,2,
6211 49 99,Other,20,0.4166666666666667,2,
6212 10 00,Brassieres,20,0.4166666666666667,0,
6212 20 00,Girdles and panty-girdles,20,0.4166666666666667,0,
6212 30 00,Corselettes,20,0.4166666666666667,0,
6212 90 10,"Suspender belts, braces, suspender garters and the like",20,0.4166666666666667,0,
6212 90 90,Other,20,0.4166666666666667,0,
6213 20 00,Of cotton,20,0.4166666666666667,2,
6213 90 10,Of man-made fibres,20,0.4166666666666667,2,
6213 90 90,Other,20,0.4166666666666667,2,
6214 10 10,Scarves of silk measuring 60 cms or less,20,0.4166666666666667,0,
6214 10 20,"Shawls, scarves (exceeding 60 cms) and the like",20,0.4166666666666667,0,
6214 10 30,Of Handloom,10,0.4166666666666667,0,
6214 10 40,Embroidered with Lucknow Chikan Craft,20,0.4166666666666667,0,
6214 10 90,Other,20,0.4166666666666667,0,
6214 20 10,Shawls,20,0.4166666666666667,0,
6214 20 21,Khadi,20,0.4166666666666667,0,
6214 20 29,Other,20,0.4166666666666667,0,
6214 20 31,Khadi,20,0.4166666666666667,0,
6214 20 39,Other,20,0.4166666666666667,0,
6214 20 90,Other,20,0.4166666666666667,0,
6214 30 10,Embroidered with Lucknow Chikan Craft,20,0.4166666666666667,2,
6214 30 90,Other,20,0.4166666666666667,2,
6214 40 10,Embroidered with Lucknow Chikan Craft,20,0.4166666666666667,2,
6214 40 90,Other,20,0.4166666666666667,2,
6214 90 10,"Abrabroomal, cotton",20,0.4166666666666667,0,
6214 90 21,Grey,10,0.4166666666666667,0,
6214 90 22,White bleached,10,0.4166666666666667,0,
6214 90 29,Other,20,0.4166666666666667,0,
6214 90 31,Grey,10,0.4166666666666667,0,
6214 90 32,White bleached,10,0.4166666666666667,0,
6214 90 39,Other,20,0.4166666666666667,0,
6214 90 41,Embroidered with Lucknow Chikan Craft,20,0.4166666666666667,0,
6214 90 49,Other,20,0.4166666666666667,0,
6214 90 51,Embroidered with Lucknow Chikan Craft,20,0.4166666666666667,0,
6214 90 59,Other,20,0.4166666666666667,0,
6214 90 61,Embroidered with Lucknow Chikan Craft,20,0.4166666666666667,0,
6214 90 69,Other,20,0.4166666666666667,0,
6214 90 91,Embroidered with Lucknow Chikan Craft,20,0.4166666666666667,0,
6214 90 99,Other,20,0.4166666666666667,0,
6215 10 10,Khadi,20,0.4166666666666667,0,
6215 10 90,Other,20,0.4166666666666667,0,
6215 20 00,Of man-made fibres,20,0.4166666666666667,0,
6215 90 10,Of cotton,20,0.4166666666666667,0,
6215 90 90,Other,20,0.4166666666666667,0,
6216 00 10,Of cotton,20,0.4166666666666667,2,
6216 00 20,Of Handloom,20,0.4166666666666667,2,
6216 00 90,Other,20,0.4166666666666667,2,
6217 10 10,"For articles of apparel, of cotton",20,0.4166666666666667,2,
6217 10 20,"For articles of apparel, of synthetic fibres",20,0.4166666666666667,2,
6217 10 30,"For articles of apparel, of wool",20,0.4166666666666667,2,
6217 10 40,"For articles of apparel, of silk",20,0.4166666666666667,2,
6217 10 50,"For articles of apparel, of regenerated fibres",20,0.4166666666666667,2,
6217 10 60,"For articles of apparel, of other fibres",20,0.4166666666666667,2,
6217 10 70,"Stockings, socks, sockettes and the like, of cotton",20,0.4166666666666667,2,
6217 10 90,Other,20,0.4166666666666667,2,
6217 90 10,Collar cuffs and the like of cotton,20,0.4166666666666667,2,
6217 90 20,Of silk,20,0.4166666666666667,2,
6217 90 30,Of wool,20,0.4166666666666667,2,
6217 90 40,Separately presented removable linings for raincoats and other,20,0.4166666666666667,2,
6217 90 90,Other,20,0.4166666666666667,2,
6301 10 00,Electric blankets,10,0.4166666666666667,1,
6301 20 00,"Blankets (other than electric blankets) and travelling rugs, of wool or of fine animal hair",10,0.4166666666666667,0,
6301 30 00,"Blankets (other than electric blankets) and travelling rugs, of cotton",10,0.4166666666666667,1,
6301 40 00,"Blankets (other than electric blankets) and travelling rugs, of synthetic fibres",20,0.4166666666666667,2,
6301 90 10,Jute blankets including blankets of blended jute,20,0.4166666666666667,2,
6301 90 90,Other,20,0.4166666666666667,2,
6302 10 10,Of cotton,10,0.4166666666666667,1,
6302 10 90,Other,10,0.4166666666666667,1,
6302 21 10,Handloom,10,0.4166666666666667,0,
6302 21 90,Other,10,0.4166666666666667,0,
6302 22 00,Of man-made fibres,10,0.4166666666666667,1,
6302 29 00,Of other textile materials,10,0.416666666666667,1,
6302 31 00,Of cotton,10,0.4166666666666667,0,
6302 32 00,Of man-made fibres,10,0.4166666666666667,1,
6302 39 00,Of other textile materials,10,0.4166666666666667,1,
6302 40 10,Of silk,10,0.4166666666666667,1,
6302 40 20,Of wool or fine animal hair,10,0.4166666666666667,1,
6302 40 30,Of cotton,10,0.4166666666666667,1,
6302 40 40,Of man-made fibres,10,0.4166666666666667,1,
6302 40 90,Other,10,0.4166666666666667,1,
6302 51 10,Handloom,10,0.4166666666666667,1,
6302 51 90,Other,10,0.4166666666666667,1,
6302 53 00,Of man-made fibres,10,0.4166666666666667,1,
6302 59 00,Of other textile materials,10,0.4166666666666667,1,
6302 60 10,Handloom,10,0.4166666666666667,1,
6302 60 90,Other,10,0.4166666666666667,1,
6302 91 10,Handloom,10,0.4166666666666667,1,
6302 91 90,Other,10,0.4166666666666667,1,
6302 93 00,Of man-made fibres,10,0.4166666666666667,1,
6302 99 00,Of other textile materials,10,0.4166666666666667,1,
6303 12 00,Of synthetic fibres,10,0.4166666666666667,1,
6303 19 00,Of other textile materials,10,0.4166666666666667,1,
6303 91 00,Of cotton,10,0.4166666666666667,1,
6303 92 00,Of synthetic fibres,10,0.4166666666666667,1,
6303 99 10,Silk shower curtains,10,0.4166666666666667,1,
6303 99 90,Other,10,0.4166666666666667,1,
6304 11 00,Knitted or crocheted,10,0.4166666666666667,1,
6304 19 10,"Bedsheets and bedcovers, of cotton",10,0.4166666666666667,1,
6304 19 20,Bedspreads of silk,10,0.4166666666666667,1,
6304 19 30,Bedsheets and bedcovers of man-made fibres,10,0.4166666666666667,1,
6304 19 40,"Bed sheets and Bed covers of cotton, Handloom",10,0.4166666666666667,1,
6304 19 90,Other,10,0.4166666666666667,1,
6304 20 00,Bed nets specified in Sub-heading Note 1 to this Chapter,10,0.4166666666666667,1,
6304 91 10,Silk belt,10,0.4166666666666667,1,
6304 91 20,Woollen cushion cover,10,0.4166666666666667,1,
6304 91 90,Other,10,0.4166666666666667,1,
6304 92 11,Of Handloom,10,0.4166666666666667,1,
6304 92 19,Other,10,0.4166666666666667,1,
6304 92 21,Of Handloom,10,0.4166666666666667,1,
6304 92 29,Other,10,0.4166666666666667,1,
6304 92 31,Of Handloom,10,0.4166666666666667,1,
6304 92 39,Other,10,0.4166666666666667,1,
6304 92 41,Of Handloom,10,0.4166666666666667,1,
6304 92 49,Other,10,0.4166666666666667,1,
6304 92 50,Terry towel,10,0.4166666666666667,1,
6304 92 60,"Towels, other than terry towel",10,0.4166666666666667,1,
6304 92 70,Mosquito nets,10,0.4166666666666667,1,
6304 92 81,Of Handloom,10,0.4166666666666667,1,
6304 92 89,Other,10,0.4166666666666667,1,
6304 92 91,Of Handloom,10,0.4166666666666667,1,
6304 92 99,Other,10,0.4166666666666667,1,
6304 93 00,"Not knitted or crocheted, of synthetic fibres",10,0.4166666666666667,1,
6304 99 10,Silk cushion covers,10,0.4166666666666667,1,
6304 99 91,"Of silk, Handloom",10,0.4166666666666667,1,
6304 99 92,"Of wool, Handloom",10,0.4166666666666667,1,
6304 99 99,Other,10,0.4166666666666667,1,
6305 10 10,Jute bagging for raw cotton,10,0.4166666666666667,1,
6305 10 20,Jute corn (grains) sacks,10,0.4166666666666667,1,
6305 10 30,Jute hessian bags,10,0.4166666666666667,1,
6305 10 40,Jute sacking bags,10,0.4166666666666667,1,
6305 10 50,Jute wool sacks,10,0.4166666666666667,1,
6305 10 60,Plastic coated or paper cum polythene lined jute bags and sacks,10,0.4166666666666667,1,
6305 10 70,Paper laminated hessian jute,10,0.4166666666666667,1,
6305 10 80,Jute soil savers,10,0.4166666666666667,1,
6305 10 90,Other,10,0.4166666666666667,1,
6305 20 00,Of cotton,10,0.4166666666666667,1,
6305 32 00,Flexible intermediate bulk containers,10,12,1,24.32
6305 33 00,"Other, of polyethylene or polypropylene strip or the like ",10,12,1,24.32
6305 39 00,Other,10,0.4166666666666667,1,
6305 90 00,Of other textile materials,10,0.4166666666666667,1,
6306 12 00,Of synthetic fibres,10,0.4166666666666667,1,
6306 19 10,Jute tarpaulins (including DW tarpaulin),10,0.4166666666666667,1,
6306 19 20,Blinds or awnings of coir,10,0.4166666666666667,1,
6306 19 30,Venetian or Austrian blinds,10,0.4166666666666667,1,
6306 19 90,Other,10,0.4166666666666667,1,
6306 22 00,Of synthetic fibres,10,0.4166666666666667,1,
6306 29 10,Of jute,10,0.4166666666666667,1,
6306 29 90,Other,10,0.4166666666666667,1,
6306 30 00,Sails,10,0.4166666666666667,1,
6306 40 00,Pneumatic mattresses,10,0.4166666666666667,1,
6306 90 10,Of cotton,10,0.4166666666666667,1,
6306 90 90,Of other textile materials,10,0.4166666666666667,1,
6307 10 10,Of cotton,10,0.4166666666666667,1,
6307 10 20,Of man-made fibres,10,0.4166666666666667,1,
6307 10 30,"Of Cotton, Handloom",10,0.4166666666666667,1,
6307 10 90,Other,10,0.4166666666666667,1,
6307 20 10,Of cotton,10,0.4166666666666667,1,
6307 20 90,Other,10,0.4166666666666667,1,
6307 90 11,Of cotton,10,0.4166666666666667,1,
6307 90 12,Of silk,10,0.4166666666666667,1,
6307 90 13,Of man-made fibres,10,0.4166666666666667,1,
6307 90 19,Other,10,0.4166666666666667,1,
6307 90 20,Made up articles of cotton,10,0.4166666666666667,1,
6307 90 91,"Textile face masks, without a replaceable filter or mechanical parts, including surgical mask and disposable face mask made of non-woven textile",10,0.4166666666666667,1,
6307 90 99,Other,10,0.4166666666666667,1,
6308 00 00,"SETS CONSISTING OF WOVEN FABRIC AND YARN, WHETHER OR NOT WITH ACCESSORIES, FOR MAKING UP INTO RUGS, TAPESTRIES, EMBROIDERED TABLE CLOTHS OR SERVIET-TES, OR SIMILAR TEXTILE ARTICLES, PUT UP IN PACK-INGS FOR RETAIL SALE",10,0.4166666666666667,1,
6309 00 00,WORN CLOTHING AND OTHER WORN ARTICLES,10,5,1,16.55
6310 10 10,Woollen rags,20,5/12,2,
6310 10 20,Cotton rags,20,5/12,2,
6310 10 30,Gunny cuttings,20,5/12,2,
6310 10 90,Other,20,5/12,2,
6310 90 10,Woollen rags,20,5/12,2,
6310 90 20,Cotton rags,20,5/12,2,
6310 90 30,Gunny cuttings,20,5/12,2,
6310 90 40,Synthetic rags,20,5/12,2,
6310 90 90,Other,20,5/12,2,
6401 10 10,Of rubber ,35,18,3.5,63.43
6401 10 90,Other ,35,18,3.5,63.43
6401 92 10,Of rubber,35,18,3.5,63.43
6401 92 90,Other,35,18,3.5,63.43
6401 99 10,Of rubber ,35,18,3.5,63.43
6401 99 90,Other ,35,18,3.5,63.43
6402 12 10,Of rubber ,35,18,3.5,63.43
6402 12 90,Other ,35,18,3.5,63.43
6402 19 10,Of rubber ,35,18,3.5,63.43
6402 19 90,Other ,35,18,3.5,63.43
6402 20 10,Of rubber ,35,18,3.5,63.43
6402 20 90,Other ,35,18,3.5,63.43
6402 91 10,Of rubber ,35,18,3.5,63.43
6402 91 90,Other,35,18,3.5,63.43
6402 99 10,Of rubber ,35,18,3.5,63.43
6402 99 90,Other ,35,18,3.5,63.43
6403 12 00,"Ski-boots, cross-country ski footwear and snowboard boots",35,18,3.5,63.43
6403 19 10,With outer soles of leather ,35,18,3.5,63.43
6403 19 20,With outer soles of rubber ,35,18,3.5,63.43
6403 19 90,Other ,35,18,3.5,63.43
6403 20 11,For men,35,18,3.5,63.43
6403 20 12,For women,35,18,3.5,63.43
6403 20 13,For children ,35,18,3.5,63.43
6403 20 19,Other ,35,18,3.5,63.43
6403 20 21,For men,35,18,3.5,63.43
6403 20 22,For women,35,18,3.5,63.43
6403 20 23,For children,35,18,3.5,63.43
6403 20 29,Others,35,18,3.5,63.43
6403 20 30,Of leather soles with embroidered uppers,35,18,3.5,63.43
6403 20 40,Kolapuri chappals and similar footwear,35,18,3.5,63.43
6403 20 90,Other,35,18,3.5,63.43
6403 40 00,"Other footwear, incorporating a protective metal toe-cap",35,18,3.5,63.43
6403 51 11,For men,35,18,3.5,63.43
6403 51 12,For women,35,18,3.5,63.43
6403 51 13,For children,35,18,3.5,63.43
6403 51 19,Other,35,18,3.5,63.43
6403 51 90,Other,35,18,3.5,63.43
6403 59 10,For men,35,18,3.5,63.43
6403 59 20,For women,35,18,3.5,63.43
6403 59 30,For children,35,18,3.5,63.43
6403 59 90,Other,35,18,3.5,63.43
6403 91 10,Leather boots and other footwear with rubber sole,35,18,3.5,63.43
6403 91 20,Leather footwear with plastic and synthetic sole,35,18,3.5,63.43
6403 91 90,Other,35,18,3.5,63.43
6403 99 10,Leather sandals with rubber sole,35,18,3.5,63.43
6403 99 20,Leather sandals with plastic or synthetic sole,35,18,3.5,63.43
6403 99 90,Other,35,18,3.5,63.43
6404 11 10,Of rubber sole with canvas upper,35,18,3.5,63.43
6404 11 20,Of rubber sole with leather cloth uppers,35,18,3.5,63.43
6404 11 90,Other,35,18,3.5,63.43
6404 19 10,Of rubber sole with canvas upper,35,18,3.5,63.43
6404 19 20,Of rubber sole with leather cloth uppers,35,18,3.5,63.43
6404 19 90,Other,35,18,3.5,63.43
6404 20 00,Footwear with outer soles of leather or composition leather,35,18,3.5,63.43
